YearWeekISO,FirstDose,FirstDoseRefused,SecondDose,UnknownDose,NumberDosesReceived,Region,Population,ReportingCountry,TargetGroup,Vaccine,Denominator
2021-W01,0,,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W01,8402,,0,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W01,0,,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W01,0,,0,0,0,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W01,17637,,0,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W01,1,,0,0,0,AT,8901064,AT,1_Age<60,UNK,5099181
2021-W01,0,,0,0,0,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W01,0,,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W01,0,,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W01,26015,,0,0,61425,AT,8901064,AT,ALL,COM,7358443
2021-W01,0,,0,0,0,AT,8901064,AT,ALL,AZ,7358443
2021-W01,0,,0,0,0,AT,8901064,AT,ALL,JANSS,7358443
2021-W01,0,,0,0,0,AT,8901064,AT,ALL,MOD,7358443
2021-W01,1,,0,0,0,AT,8901064,AT,ALL,UNK,7358443
2021-W01,0,,0,0,0,AT,8901064,AT,Age0_4,MOD,
2021-W01,0,,0,0,61425,AT,8901064,AT,Age0_4,COM,
2021-W01,0,,0,0,0,AT,8901064,AT,Age0_4,AZ,
2021-W01,0,,0,0,0,AT,8901064,AT,Age0_4,JANSS,
2021-W01,0,,0,0,0,AT,8901064,AT,Age0_4,UNK,
2021-W01,0,,0,0,0,AT,8901064,AT,Age10_14,JANSS,
2021-W01,0,,0,0,0,AT,8901064,AT,Age10_14,MOD,
2021-W01,0,,0,0,0,AT,8901064,AT,Age10_14,UNK,
2021-W01,0,,0,0,61425,AT,8901064,AT,Age10_14,COM,
2021-W01,0,,0,0,0,AT,8901064,AT,Age10_14,AZ,
2021-W01,23,,0,0,61425,AT,8901064,AT,Age15_17,COM,
2021-W01,0,,0,0,0,AT,8901064,AT,Age15_17,MOD,
2021-W01,0,,0,0,0,AT,8901064,AT,Age15_17,UNK,
2021-W01,0,,0,0,0,AT,8901064,AT,Age15_17,AZ,
2021-W01,0,,0,0,0,AT,8901064,AT,Age15_17,JANSS,
2021-W01,782,,0,0,61425,AT,8901064,AT,Age18_24,COM,696064
2021-W01,0,,0,0,0,AT,8901064,AT,Age18_24,JANSS,696064
2021-W01,0,,0,0,0,AT,8901064,AT,Age18_24,UNK,696064
2021-W01,0,,0,0,0,AT,8901064,AT,Age18_24,MOD,696064
2021-W01,0,,0,0,0,AT,8901064,AT,Age18_24,AZ,696064
2021-W01,0,,0,0,0,AT,8901064,AT,Age25_49,MOD,3006228
2021-W01,10325,,0,0,61425,AT,8901064,AT,Age25_49,COM,3006228
2021-W01,0,,0,0,0,AT,8901064,AT,Age25_49,JANSS,3006228
2021-W01,0,,0,0,0,AT,8901064,AT,Age25_49,AZ,3006228
2021-W01,0,,0,0,0,AT,8901064,AT,Age25_49,UNK,3006228
2021-W01,0,,0,0,0,AT,8901064,AT,Age50_59,AZ,1396889
2021-W01,0,,0,0,0,AT,8901064,AT,Age50_59,JANSS,1396889
2021-W01,6506,,0,0,61425,AT,8901064,AT,Age50_59,COM,1396889
2021-W01,0,,0,0,0,AT,8901064,AT,Age50_59,MOD,1396889
2021-W01,1,,0,0,0,AT,8901064,AT,Age50_59,UNK,1396889
2021-W01,0,,0,0,0,AT,8901064,AT,Age5_9,MOD,
2021-W01,0,,0,0,0,AT,8901064,AT,Age5_9,UNK,
2021-W01,0,,0,0,0,AT,8901064,AT,Age5_9,JANSS,
2021-W01,0,,0,0,0,AT,8901064,AT,Age5_9,AZ,
2021-W01,1,,0,0,61425,AT,8901064,AT,Age5_9,COM,
2021-W01,0,,0,0,0,AT,8901064,AT,Age60_69,JANSS,1016016
2021-W01,0,,0,0,0,AT,8901064,AT,Age60_69,AZ,1016016
2021-W01,0,,0,0,0,AT,8901064,AT,Age60_69,MOD,1016016
2021-W01,2709,,0,0,61425,AT,8901064,AT,Age60_69,COM,1016016
2021-W01,0,,0,0,0,AT,8901064,AT,Age60_69,UNK,1016016
2021-W01,0,,0,0,0,AT,8901064,AT,Age70_79,JANSS,769199
2021-W01,0,,0,0,0,AT,8901064,AT,Age70_79,MOD,769199
2021-W01,0,,0,0,0,AT,8901064,AT,Age70_79,AZ,769199
2021-W01,0,,0,0,0,AT,8901064,AT,Age70_79,UNK,769199
2021-W01,1517,,0,0,61425,AT,8901064,AT,Age70_79,COM,769199
2021-W01,0,,0,0,0,AT,8901064,AT,Age80+,AZ,474047
2021-W01,0,,0,0,0,AT,8901064,AT,Age80+,MOD,474047
2021-W01,4176,,0,0,61425,AT,8901064,AT,Age80+,COM,474047
2021-W01,0,,0,0,0,AT,8901064,AT,Age80+,JANSS,474047
2021-W01,0,,0,0,0,AT,8901064,AT,Age80+,UNK,474047
2021-W01,0,,0,0,0,AT,8901064,AT,Age<18,UNK,
2021-W01,0,,0,0,0,AT,8901064,AT,Age<18,MOD,
2021-W01,0,,0,0,0,AT,8901064,AT,Age<18,JANSS,
2021-W01,24,,0,0,61425,AT,8901064,AT,Age<18,COM,
2021-W01,0,,0,0,0,AT,8901064,AT,Age<18,AZ,
2021-W02,80,,0,0,7200,AT,8901064,AT,1_Age60+,MOD,2259262
2021-W02,0,,0,0,0,AT,8901064,AT,1_Age60+,AZ,2259262
2021-W02,40526,,181,0,61425,AT,8901064,AT,1_Age60+,COM,2259262
2021-W02,0,,0,0,0,AT,8901064,AT,1_Age60+,JANSS,2259262
2021-W02,12,,0,0,0,AT,8901064,AT,1_Age60+,UNK,2259262
2021-W02,0,,0,0,0,AT,8901064,AT,1_Age<60,JANSS,5099181
2021-W02,0,,0,0,0,AT,8901064,AT,1_Age<60,AZ,5099181
2021-W02,10,,0,0,7200,AT,8901064,AT,1_Age<60,MOD,5099181
2021-W02,43994,,206,0,61425,AT,8901064,AT,1_Age<60,COM,5099181
2021-W02,2,,0,0,0,AT,8901064,AT,1_Age<60,UNK,5099181
